Aldrei er góð vísa of oft kveðin
Aldrei nær sá heilum eyri er hálfan fyrirlítur
Aldrei verður tófa trygg
Allar ár renna til sjávar
Allir hafa nokkuð til síns máls
Allir hanar hafa kambinn
Allir renna blint í sjóinn
Allt tekur enda um síðir
Allir vilja elli bíða, en enginn hennar mein líða
Allir vilja síns böls blindir vera
Allt er vænt sem vel er grænt
Auðkenndur er asninn á eyrunum
Auðvelt er að lofa, örðugt að efna
